0,8935452,der
1,5046453,von
2,4858750,und
3,3962396,auf
4,2540085,in
5,1712166,dass
6,1633535,er
7.1472478,war
8,1418407,es
9,1299927,sein
10,1221896,mit
11,1133684,du
12,1130595,als
13,1125543,für
14,1097403,ist
15,881395,hatte
16,871409,nicht
17,814565,oder
18,810894,sein
19,791333,am
20,789954,bei
21,787320,sondern
22,773163,von
23,763373,ihr
24,688819,diese
25,658706,die
26,644169,haben
27,641119,sie
28,632189,von
29,618561,ihm
30,616086,mein
31,607619,sie
32,600762,alle
33,517532,ich
34,483627,einer
35,482922,waren
36,478143,also
37,474774,sind
38,452807,ein
39,437132,wir
40,435393,sagten
41,416456,ihre
42,404460,nein
43,397014,wenn
44,392500,dort
45,378515,wer
46,372500,wenn
47,371378,sie
48,345932,wird
49,339539,würde
50,336825,was
51,310956,gewesen
52,299176,aus
53,287055,tun
54,285241,auf
55,283573,dein
56,277537,mehr
57,270252,Mann
58,266293,dann
59,258850,jeder
60,258108,in
61,252939,sehen
62,247354,jetzt
63,234015,einige
64,232330,andere
65,230011,könnte
66,226722,auf
67,221553,wie
68,217059,hat
69,216963,Zeit
70,215877,über
71,215567,als
72,209153,sehr
73,206497,unser
74,199774,kann
75,192956,wenig
76,192548,kann
77,190197,sein
78,189047,nur
79,182352,hat
80,180047,solche
81,179668,uns
82,178540,sollen
83,177307,diese
84,175797,vor
85,174576,gemacht
86,174376,zwei
87,172815,gut
88,171072,gut
89,168557,großartig
90,166037,wissen
91,164607,vorbei
92,163429,nach
93,163349,muss
94,160996,sollte
95,160080,kommen
96,159345,wie
97,158692,runter
98,157848,gutenberg
99,153008,erste
100,151849,projekt
101,151009,Arbeit
102,150468,alt
103,150117,Tag
104,147672,wo
105,147233,Männer
106,144898,viel
107,143480,nie
108,140885,hier
109,139203,gehen
110,137828,kam
111,136030,Weg
112,133147,Leben
113,131799,eigenes
114,131642,am meisten
115,130310,machen
116,129854,Herr
117,129405,am
118,129237,lang
119,129012,sagen
120,127729,selbst
121,127005,ohne
122,124992,wieder
123,124230,durch
124,124112,sein
125,122947,die
126,120148,zurück
127,119064,könnte
128,118917,sogar
129,118323,viele
130,116803,unter
131,113968,auch
132,113487,Menschen
133,113402,Hand
134,112299,weg
135,108383,ging
136,107623,jeder
137,107498,du
138,106274,denken
139,105837,auch
140,105362,de
141,105002,doch
142,104482,nehmen
143,104443,Augen
144,103856,Haus
145,102978,noch
146,100413,gleich
147,100176,Ort
148,99350,letzte
149,99201,gedacht
150,98200,lassen
151,97907,neu
152,97546,während
153,97124,gerade
154,95216,gefunden
155,92351,dinge
156,91662,Kopf
157,91618,Herr
158,91570,tm
159,91295,anderes
160,90917,nichts
161,90279,obwohl
162,90071,geben
163,89952,jung
164,89324,Nacht
165,89117,Recht
166,88244,König
167,87526,Liebe
168,87428,Gesicht
169,86581,aus
170,86532,Gott
171,86464,Welt
172,86211,Herr
173,86006,Jahre
174,85816,immer
175,85484,gegen
176,85238,drei
177,84319,sah
178,84303,einmal
179,83086,dein
180,82081,bekommen
181,81662,Teil
182,79530,sagen
183,78894,links
184,78429,setzen
185,77927,weil
186,76249,nahm
187,75854,schauen
188,75394,jeder
189,75280,warum
190,75188,genannt
191,75116,Name
192,74457,Geist
193,74378,Vater
194,73451,Sache
195,73259,Herz
196,72791,schaute
197,72403,haben
198,72346,Zimmer
199,71960,setzen
200,70799,weit
201,70756,zwischen
202,70638,immer
203,70620,Frau
204,69614,voll
205,68545,Seite
206,68541,Werke
207,67910,beide
208,67581,schien
209,67379,verwenden
210,67069,bekam
211,67016,gehört
212,66897,der
213,66883,wen
214,66298,etwas
215,66231,noch
216,65289,getan
217,64815,Frau
218,64672,Tage
219,64573,gehen
220,63921,Staat
221,63606,gefragt
222,63390,unter
223,62666,Ende
224,62392,wenige
225,62189,finden
226,61629,besser
227,61581,gesehen
228,61352,erzählt
229,61005,Tür
230,60829,Licht
231,60611,klein
232,60593,Hände
233,60540,Worte
234,60536,wusste
235,60277,halb
236,60145,gebraucht
237,60001,Wasser
238,58945,also
239,58844,Tod
240,58630,Augenblick
241,58579,Land
242,58371,Mutter
243,58289,genug
244,58090,Wort
245,57937,Heimat
246,57329,ganz
247,57252,seit
248,57180,weiß
249,56448,Land
250,55969,Sohn
251,55494,ziemlich
252,55166,arm
253,54571,selbst
254,54511,bald
255,54398,geworden
256,54228,natürlich
257,54209,gab
258,52539,Dame
259,52064,Stimme
260,51870,fast
261,51751,wollen
262,51171,deren
263,51055,innerhalb
264,50872,begann
265,50748,nächste
266,50610,rund
267,50596,gebracht
268,50307,kann
269,50261,Geld
270,50105,irgendetwas
271,50024,Gesetz
272,50011,Form
273,49878,tut
274,49731,hoch
275,49713,Art
276,49476,Macht
277,49442,zusammen
278,49326,doch
279,49286,stand
280,49009,ja
281,48950,allgemein
282,48326,vielleicht
283,48283,Luft
284,48234,Kinder
285,48103,eher
286,48085,bis
287,47998,sicher
288,47942,wahr
289,47657,weniger
290,47547,vormittags
291,47222,bis
292,47179,beste
293,47121,elektronisch
294,47117,Meer
295,47084,andere
296,47030,lieb
